ano,id_municipio,populacao_urbana,populacao_urbana_residente_agua,populacao_urbana_atendida_agua,populacao_urbana_residente_esgoto,populacao_urbana_atendida_esgoto
2021,3136405,2791.0,2791.0,2401.0,2791.0,969.0
2021,3136702,570966.0,570966.0,554216.0,570966.0,546750.0
2020,3136702,566768.0,566768.0,543756.0,566768.0,536598.0
2019,3136801,2392.0,2392.0,2364.0,2392.0,1750.0
2019,3137205,50978.0,50978.0,50978.0,50978.0,50978.0
2020,3137700,12443.0,12443.0,12443.0,12443.0,9885.0
2020,3140506,11736.0,11736.0,11114.0,11736.0,6442.0
2021,3141603,7541.0,7541.0,7333.0,7541.0,7541.0
2020,3143153,1797.0,1797.0,1743.0,1797.0,1540.0
2020,3144003,13945.0,13945.0,11627.0,13945.0,7766.0
2021,3144359,6678.0,6678.0,6144.0,6678.0,5414.0
2021,3145372,1850.0,1850.0,1825.0,1850.0,0.0
2020,3145877,2463.0,2463.0,2424.0,2463.0,2463.0
2019,3146503,6830.0,6830.0,6394.0,6830.0,6458.0
2020,3146701,5175.0,5175.0,4747.0,5175.0,5000.0
2021,3147709,6256.0,6256.0,6051.0,6256.0,6256.0
2021,3149101,5384.0,5384.0,5384.0,5384.0,4828.0
2021,3156502,1816.0,1816.0,1816.0,1816.0,1210.0
2019,3157203,27861.0,27861.0,22380.0,27861.0,27844.0
2020,3161205,4678.0,4678.0,4678.0,4678.0,4500.0
2021,3162401,8545.0,8545.0,7216.0,8545.0,2209.0
2021,3170107,332676.0,332676.0,332676.0,332676.0,332676.0
2020,5003207,100981.0,100981.0,97225.0,100981.0,58303.0
2020,5003504,3660.0,3660.0,3623.0,3660.0,970.0
2020,5004007,7688.0,7688.0,7688.0,7688.0,0.0
2020,5004106,8326.0,8326.0,8243.0,8326.0,3741.0
2019,5004304,11896.0,11896.0,11777.0,11896.0,2022.0
2020,5103205,27358.0,27358.0,27358.0,27358.0,14225.0
2020,2501005,10111.0,10111.0,6872.0,10111.0,6238.0
2020,2512606,739.0,739.0,739.0,739.0,739.0
2019,2600203,6544.0,6544.0,6544.0,6544.0,6500.0
2021,2603108,16659.0,16659.0,16659.0,16659.0,13100.0
2020,2605152,6771.0,6771.0,6771.0,6771.0,5051.0
2021,2608107,16401.0,16401.0,16401.0,16401.0,16283.0
2020,2609709,8613.0,8613.0,7653.0,8613.0,1550.0
2019,2611705,9395.0,9395.0,9395.0,9395.0,4920.0
2019,4104303,89944.0,89944.0,89944.0,89944.0,89944.0
2021,4104501,11539.0,11539.0,11539.0,11539.0,9692.0
2020,4104907,52736.0,52736.0,52736.0,52736.0,52736.0
2021,4105706,13991.0,13991.0,13991.0,13991.0,13991.0
2021,4106209,11085.0,11085.0,11085.0,11085.0,11085.0
2020,4108809,30600.0,30600.0,30600.0,30600.0,22078.0
2021,4112009,30265.0,30265.0,30265.0,30265.0,30088.0
2020,4117305,9005.0,9005.0,9005.0,9005.0,9005.0
2019,4117701,20433.0,20433.0,20433.0,20433.0,20433.0
2020,4119954,27679.0,27679.0,27679.0,27679.0,27679.0
2021,4120200,1781.0,1781.0,1781.0,1781.0,1781.0
2020,4120408,4694.0,4694.0,4586.0,4694.0,3668.0
2019,4121901,10673.0,10673.0,10673.0,10673.0,9621.0
2019,4125308,4810.0,4810.0,4525.0,4810.0,4375.0
2021,4126405,4519.0,4519.0,4519.0,4519.0,2317.0
2020,4127809,3658.0,3658.0,3658.0,3658.0,3658.0
2019,3302403,251868.0,251868.0,213358.0,251868.0,250241.0
2020,2400604,3364.0,3364.0,3172.0,3364.0,560.0
2021,2402709,4858.0,4858.0,4858.0,4858.0,4041.0
2021,2405603,11803.0,11803.0,11803.0,11803.0,3907.0
2020,2406700,8816.0,8816.0,8816.0,8816.0,6607.0
2021,2407203,24474.0,24474.0,19783.0,24474.0,20134.0
2020,2408300,25726.0,25726.0,25726.0,25726.0,12829.0
2020,2409704,3822.0,3822.0,3822.0,3822.0,3181.0
2020,2412005,87626.0,87626.0,87626.0,87626.0,32457.0
2019,2412401,3617.0,3617.0,1665.0,3617.0,2993.0
2019,2412807,5600.0,5600.0,5600.0,5600.0,5146.0
2020,1100023,92761.0,92761.0,92761.0,92761.0,2280.0
2019,1100254,11316.0,11316.0,11316.0,11316.0,4366.0
2019,4304358,2839.0,2839.0,2000.0,2839.0,1400.0
2019,4305157,794.0,794.0,794.0,794.0,794.0
2021,4305454,16353.0,16353.0,15620.0,16353.0,1069.0
2021,4306767,38107.0,38107.0,38107.0,38107.0,6813.0
2020,4311627,5024.0,5024.0,4600.0,5024.0,40.0
2020,4318622,2221.0,2221.0,2011.0,2221.0,1700.0
2021,4203600,30393.0,30393.0,30393.0,30393.0,28484.0
2020,4206751,698.0,698.0,698.0,698.0,697.0
2019,4208203,207658.0,207658.0,203681.0,207658.0,63806.0
2021,4208401,8471.0,8471.0,8440.0,8471.0,7283.0
2019,4217709,22413.0,22413.0,14963.0,22413.0,10376.0
2021,4218004,33501.0,33501.0,33110.0,33501.0,23600.0
2021,2803401,4473.0,4473.0,4449.0,4473.0,1.0
2019,3501103,3232.0,3232.0,3232.0,3232.0,3224.0
