ano,id_municipio,extensao_rede_agua,extensao_rede_esgoto,quantidade_sede_municipal_agua,quantidade_sede_municipal_esgoto,quantidade_localidade_agua,quantidade_localidade_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,volume_agua_produzido,volume_esgoto_tratado
2021,3168002,153.5,108.88,1.0,1.0,4.0,0.0,11650.0,6663.0,1417.18,453.29
2020,3168606,350.17,224.16,1.0,1.0,5.0,1.0,43955.0,39819.0,8803.03,3354.49
2019,3172103,23.2,60.0,1.0,1.0,0.0,3.0,1630.0,1400.0,261.14,0.0
2019,5000906,40.51,22.15,1.0,1.0,0.0,0.0,2639.0,237.0,434.58,23.12
2021,5003900,18.75,2.27,1.0,1.0,0.0,0.0,1019.0,67.0,178.49,3.55
2019,5004502,74.53,15.77,1.0,1.0,3.0,0.0,5585.0,580.0,1166.81,70.01
2019,5005103,19.97,19.11,1.0,1.0,1.0,1.0,981.0,822.0,223.92,99.87
2020,5106422,104.24,53.78,1.0,1.0,0.0,0.0,8258.0,4851.0,1751.09,580.9
2020,5107925,462.89,312.74,1.0,1.0,3.0,3.0,29824.0,8771.0,7889.22,1407.7
2020,1501303,213.53,52.27,1.0,1.0,0.0,0.0,11018.0,3599.0,5376.38,148.06
2020,2500908,19.27,4.5,1.0,1.0,0.0,0.0,3674.0,570.0,345.93,0.0
2021,2502508,49.6,30.0,1.0,1.0,0.0,0.0,3589.0,3450.0,691.73,0.0
2021,2502706,10.0,1.0,1.0,1.0,0.0,0.0,500.0,64.0,350.0,0.0
2021,2503902,18.5,1.06,1.0,1.0,1.0,0.0,1860.0,106.0,245.15,9.08
2021,2500700,34.65,16.0,1.0,1.0,0.0,0.0,3150.0,1800.0,697.55,75.0
2021,2606309,86.09,7.35,1.0,1.0,1.0,0.0,1185.0,279.0,228.14,7.45
2021,2607901,1193.39,422.16,1.0,1.0,5.0,4.0,120939.0,26760.0,42144.79,7321.26
2020,2607901,1156.34,422.16,1.0,1.0,5.0,4.0,119535.0,26041.0,40485.93,3453.28
2020,2609808,22.32,10.0,1.0,1.0,0.0,0.0,1825.0,1100.0,418.42,0.0
2020,4100400,506.75,251.26,1.0,1.0,0.0,0.0,31524.0,18259.0,7644.64,2332.97
2021,4100509,155.28,81.07,1.0,1.0,3.0,0.0,6640.0,4067.0,1042.79,514.24
2021,4128625,23.5,9.41,1.0,1.0,0.0,0.0,1149.0,244.0,183.04,18.86
2021,4104402,45.98,28.35,1.0,1.0,1.0,0.0,2445.0,1446.0,377.84,177.87
2020,4104451,82.54,47.28,1.0,1.0,0.0,0.0,3332.0,1683.0,516.02,207.83
2020,4105102,96.81,23.64,1.0,1.0,1.0,0.0,4281.0,1111.0,805.86,158.33
2020,4106555,24.95,27.45,1.0,1.0,0.0,0.0,1128.0,896.0,161.23,92.85
2021,4107751,73.01,9.75,1.0,1.0,0.0,0.0,3150.0,352.0,570.18,43.03
2021,4109401,962.7,692.88,1.0,1.0,4.0,1.0,56667.0,46502.0,11083.99,6790.77
2019,4109401,1063.81,818.48,1.0,1.0,4.0,1.0,54090.0,44389.0,10844.64,6628.65
2019,4113601,38.0,34.0,1.0,1.0,0.0,0.0,1920.0,1910.0,450.0,250.0
2021,4114906,73.99,27.96,1.0,1.0,2.0,0.0,2832.0,685.0,470.73,85.72
2021,4117305,92.32,60.8,1.0,1.0,4.0,0.0,5398.0,3471.0,786.18,407.2
2019,4119509,567.38,441.93,1.0,1.0,0.0,0.0,32175.0,28931.0,0.0,3981.22
2020,4119608,156.86,112.44,1.0,1.0,0.0,0.0,8333.0,5408.0,1343.3,698.42
2020,4121208,66.12,16.56,1.0,1.0,0.0,0.0,2531.0,588.0,421.68,74.51
2019,4122909,15.37,16.98,1.0,1.0,0.0,0.0,1713.0,736.0,238.52,83.68
2020,4123303,81.6,16.28,1.0,1.0,0.0,0.0,2793.0,527.0,453.88,72.91
2019,4124806,94.27,35.63,1.0,1.0,0.0,0.0,2877.0,1778.0,430.87,234.36
2020,4125308,38.0,29.0,1.0,1.0,2.0,0.0,2137.0,2062.0,600.0,437.0
2021,4125704,187.03,125.58,1.0,1.0,2.0,0.0,8359.0,5753.0,1575.41,796.58
2021,4128401,86.84,59.0,1.0,1.0,2.0,0.0,4280.0,3666.0,782.18,439.7
2021,4128559,65.71,55.8,1.0,1.0,1.0,1.0,2869.0,2313.0,517.88,267.42
2020,4128559,64.72,42.13,1.0,1.0,1.0,0.0,2849.0,2219.0,520.28,262.95
2021,3300258,176.11,33.2,1.0,1.0,0.0,0.0,13777.0,13777.0,2942.36,2505.0
2021,2406106,60.79,24.04,1.0,1.0,0.0,0.0,4732.0,1278.0,680.51,140.2
2020,2408102,1702.0,665.22,1.0,1.0,0.0,0.0,212168.0,86006.0,87746.59,20336.43
2020,2409407,169.87,20.14,1.0,1.0,0.0,0.0,9239.0,2074.0,1559.23,220.1
2019,2410900,38.26,11.0,1.0,1.0,1.0,0.0,1758.0,1409.0,421.68,148.59
2021,2412203,100.07,9.1,1.0,1.0,0.0,0.0,7819.0,76.0,1113.14,10.0
2019,1100346,74.62,43.32,1.0,1.0,2.0,0.0,3427.0,2136.0,755.0,604.0
2021,1100254,79.74,1.62,1.0,1.0,3.0,0.0,4201.0,100.0,1151.24,87.0
2019,4306767,99.31,18.6,1.0,1.0,0.0,0.0,9635.0,1498.0,0.0,197.29
2019,4310108,123.24,3.58,1.0,1.0,0.0,0.0,8402.0,266.0,424.69,0.0
2019,4310330,267.26,0.01,1.0,1.0,0.0,0.0,26031.0,1.0,2204.35,0.0
2019,4313508,222.26,52.1,1.0,1.0,0.0,0.0,13949.0,232.0,2293.31,301.86
2021,4313904,104.85,1.0,1.0,1.0,0.0,0.0,13862.0,66.0,3942.38,0.0
2021,4315073,151.0,2.0,1.0,1.0,17.0,0.0,883.0,65.0,116.0,0.0
2020,4208005,36.42,13.77,1.0,1.0,0.0,0.0,1612.0,1250.0,366.79,153.65
2020,4208401,1164.0,193.0,1.0,1.0,28.0,0.0,5738.0,2379.0,1497.6,58.52
2021,4208906,936.5,638.4,1.0,1.0,6.0,1.0,44958.0,35841.0,14831.79,7046.4
2019,4209102,2252.34,553.57,1.0,1.0,1.0,0.0,154098.0,41510.0,65131.0,9072.0
2020,4211900,732.2,97.94,1.0,1.0,2.0,1.0,52944.0,9678.0,1789.72,905.56
2019,4211900,715.0,85.0,1.0,1.0,2.0,1.0,50504.0,8737.0,904.0,1297.55
2021,4219309,285.95,1.43,1.0,1.0,1.0,0.0,15038.0,78.0,5126.48,10.1
2021,2803005,106.95,54.33,1.0,1.0,5.0,3.0,8929.0,7146.0,1751.36,0.0
2021,3501608,984.5,913.53,1.0,1.0,0.0,0.0,84352.0,80870.0,32258.51,9869.83
